1512435612.81 2017-12-04 18:00:12.805440 psutil.Process(pid=21982, name='mlr_main') ['/users/group23/petuum_test/bosen/app/mlr/bin/mlr_main', '--num_comm_channels_per_client=1', '--hostfile=/proj/cs744-PG0/bosen_config/fourhosts', '--staleness=2', '--client_id=0', '--num_app_threads=4', '--num_clients=4', '--weight_file=', '--test_file=/proj/cs744-PG0/dm1/mnist8m_test', '--num_batches_per_epoch=10', '--num_epochs=40', '--output_file_prefix=/users/group23/petuum_test/bosen/app/mlr/out', '--lr_decay_rate=0.99', '--num_train_eval=10000', '--global_data=false', '--init_lr=0.01', '--train_file=/proj/cs744-PG0/dm1/mnist8m', '--use_weight_file=false', '--num_test_eval=20', '--perform_test=true', '--num_batches_per_eval=10', '--lambda=0'] pcputimes(user=0.44, system=0.09, children_user=0.0, children_system=0.0) pmem(rss=204914688, vms=586104832, shared=4947968, text=888832, lib=0, data=543023104, dirty=0)
1512435614.83 2017-12-04 18:00:14.830908 psutil.Process(pid=21982, name='mlr_main') ['/users/group23/petuum_test/bosen/app/mlr/bin/mlr_main', '--num_comm_channels_per_client=1', '--hostfile=/proj/cs744-PG0/bosen_config/fourhosts', '--staleness=2', '--client_id=0', '--num_app_threads=4', '--num_clients=4', '--weight_file=', '--test_file=/proj/cs744-PG0/dm1/mnist8m_test', '--num_batches_per_epoch=10', '--num_epochs=40', '--output_file_prefix=/users/group23/petuum_test/bosen/app/mlr/out', '--lr_decay_rate=0.99', '--num_train_eval=10000', '--global_data=false', '--init_lr=0.01', '--train_file=/proj/cs744-PG0/dm1/mnist8m', '--use_weight_file=false', '--num_test_eval=20', '--perform_test=true', '--num_batches_per_eval=10', '--lambda=0'] pcputimes(user=2.2, system=0.35, children_user=0.0, children_system=0.0) pmem(rss=741847040, vms=2096070656, shared=4947968, text=888832, lib=0, data=2052988928, dirty=0)
1512435616.86 2017-12-04 18:00:16.857350 psutil.Process(pid=21982, name='mlr_main') ['/users/group23/petuum_test/bosen/app/mlr/bin/mlr_main', '--num_comm_channels_per_client=1', '--hostfile=/proj/cs744-PG0/bosen_config/fourhosts', '--staleness=2', '--client_id=0', '--num_app_threads=4', '--num_clients=4', '--weight_file=', '--test_file=/proj/cs744-PG0/dm1/mnist8m_test', '--num_batches_per_epoch=10', '--num_epochs=40', '--output_file_prefix=/users/group23/petuum_test/bosen/app/mlr/out', '--lr_decay_rate=0.99', '--num_train_eval=10000', '--global_data=false', '--init_lr=0.01', '--train_file=/proj/cs744-PG0/dm1/mnist8m', '--use_weight_file=false', '--num_test_eval=20', '--perform_test=true', '--num_batches_per_eval=10', '--lambda=0'] pcputimes(user=3.96, system=0.62, children_user=0.0, children_system=0.0) pmem(rss=1316458496, vms=4109344768, shared=4947968, text=888832, lib=0, data=4066263040, dirty=0)
1512435618.88 2017-12-04 18:00:18.877761 psutil.Process(pid=21982, name='mlr_main') ['/users/group23/petuum_test/bosen/app/mlr/bin/mlr_main', '--num_comm_channels_per_client=1', '--hostfile=/proj/cs744-PG0/bosen_config/fourhosts', '--staleness=2', '--client_id=0', '--num_app_threads=4', '--num_clients=4', '--weight_file=', '--test_file=/proj/cs744-PG0/dm1/mnist8m_test', '--num_batches_per_epoch=10', '--num_epochs=40', '--output_file_prefix=/users/group23/petuum_test/bosen/app/mlr/out', '--lr_decay_rate=0.99', '--num_train_eval=10000', '--global_data=false', '--init_lr=0.01', '--train_file=/proj/cs744-PG0/dm1/mnist8m', '--use_weight_file=false', '--num_test_eval=20', '--perform_test=true', '--num_batches_per_eval=10', '--lambda=0'] pcputimes(user=5.76, system=0.85, children_user=0.0, children_system=0.0) pmem(rss=1966575616, vms=4109344768, shared=4947968, text=888832, lib=0, data=4066263040, dirty=0)
1512435620.9 2017-12-04 18:00:20.902538 psutil.Process(pid=21982, name='mlr_main') ['/users/group23/petuum_test/bosen/app/mlr/bin/mlr_main', '--num_comm_channels_per_client=1', '--hostfile=/proj/cs744-PG0/bosen_config/fourhosts', '--staleness=2', '--client_id=0', '--num_app_threads=4', '--num_clients=4', '--weight_file=', '--test_file=/proj/cs744-PG0/dm1/mnist8m_test', '--num_batches_per_epoch=10', '--num_epochs=40', '--output_file_prefix=/users/group23/petuum_test/bosen/app/mlr/out', '--lr_decay_rate=0.99', '--num_train_eval=10000', '--global_data=false', '--init_lr=0.01', '--train_file=/proj/cs744-PG0/dm1/mnist8m', '--use_weight_file=false', '--num_test_eval=20', '--perform_test=true', '--num_batches_per_eval=10', '--lambda=0'] pcputimes(user=7.48, system=1.15, children_user=0.0, children_system=0.0) pmem(rss=2455879680, vms=8144273408, shared=4947968, text=888832, lib=0, data=8101191680, dirty=0)
1512435622.93 2017-12-04 18:00:22.929299 psutil.Process(pid=21982, name='mlr_main') ['/users/group23/petuum_test/bosen/app/mlr/bin/mlr_main', '--num_comm_channels_per_client=1', '--hostfile=/proj/cs744-PG0/bosen_config/fourhosts', '--staleness=2', '--client_id=0', '--num_app_threads=4', '--num_clients=4', '--weight_file=', '--test_file=/proj/cs744-PG0/dm1/mnist8m_test', '--num_batches_per_epoch=10', '--num_epochs=40', '--output_file_prefix=/users/group23/petuum_test/bosen/app/mlr/out', '--lr_decay_rate=0.99', '--num_train_eval=10000', '--global_data=false', '--init_lr=0.01', '--train_file=/proj/cs744-PG0/dm1/mnist8m', '--use_weight_file=false', '--num_test_eval=20', '--perform_test=true', '--num_batches_per_eval=10', '--lambda=0'] pcputimes(user=9.29, system=1.36, children_user=0.0, children_system=0.0) pmem(rss=3105996800, vms=8144273408, shared=4947968, text=888832, lib=0, data=8101191680, dirty=0)
1512435624.95 2017-12-04 18:00:24.950023 psutil.Process(pid=21982, name='mlr_main') ['/users/group23/petuum_test/bosen/app/mlr/bin/mlr_main', '--num_comm_channels_per_client=1', '--hostfile=/proj/cs744-PG0/bosen_config/fourhosts', '--staleness=2', '--client_id=0', '--num_app_threads=4', '--num_clients=4', '--weight_file=', '--test_file=/proj/cs744-PG0/dm1/mnist8m_test', '--num_batches_per_epoch=10', '--num_epochs=40', '--output_file_prefix=/users/group23/petuum_test/bosen/app/mlr/out', '--lr_decay_rate=0.99', '--num_train_eval=10000', '--global_data=false', '--init_lr=0.01', '--train_file=/proj/cs744-PG0/dm1/mnist8m', '--use_weight_file=false', '--num_test_eval=20', '--perform_test=true', '--num_batches_per_eval=10', '--lambda=0'] pcputimes(user=11.08, system=1.6, children_user=0.0, children_system=0.0) pmem(rss=3756113920, vms=8144273408, shared=4947968, text=888832, lib=0, data=8101191680, dirty=0)
1512435626.97 2017-12-04 18:00:26.974967 psutil.Process(pid=21982, name='mlr_main') ['/users/group23/petuum_test/bosen/app/mlr/bin/mlr_main', '--num_comm_channels_per_client=1', '--hostfile=/proj/cs744-PG0/bosen_config/fourhosts', '--staleness=2', '--client_id=0', '--num_app_threads=4', '--num_clients=4', '--weight_file=', '--test_file=/proj/cs744-PG0/dm1/mnist8m_test', '--num_batches_per_epoch=10', '--num_epochs=40', '--output_file_prefix=/users/group23/petuum_test/bosen/app/mlr/out', '--lr_decay_rate=0.99', '--num_train_eval=10000', '--global_data=false', '--init_lr=0.01', '--train_file=/proj/cs744-PG0/dm1/mnist8m', '--use_weight_file=false', '--num_test_eval=20', '--perform_test=true', '--num_batches_per_eval=10', '--lambda=0'] pcputimes(user=12.58, system=2.12, children_user=0.0, children_system=0.0) pmem(rss=4081123328, vms=16205733888, shared=4947968, text=888832, lib=0, data=16162652160, dirty=0)
1512435629.0 2017-12-04 18:00:29.001687 psutil.Process(pid=21982, name='mlr_main') ['/users/group23/petuum_test/bosen/app/mlr/bin/mlr_main', '--num_comm_channels_per_client=1', '--hostfile=/proj/cs744-PG0/bosen_config/fourhosts', '--staleness=2', '--client_id=0', '--num_app_threads=4', '--num_clients=4', '--weight_file=', '--test_file=/proj/cs744-PG0/dm1/mnist8m_test', '--num_batches_per_epoch=10', '--num_epochs=40', '--output_file_prefix=/users/group23/petuum_test/bosen/app/mlr/out', '--lr_decay_rate=0.99', '--num_train_eval=10000', '--global_data=false', '--init_lr=0.01', '--train_file=/proj/cs744-PG0/dm1/mnist8m', '--use_weight_file=false', '--num_test_eval=20', '--perform_test=true', '--num_batches_per_eval=10', '--lambda=0'] pcputimes(user=14.39, system=2.33, children_user=0.0, children_system=0.0) pmem(rss=4733337600, vms=16205733888, shared=4947968, text=888832, lib=0, data=16162652160, dirty=0)
1512435630.02 2017-12-04 18:00:30.023084 psutil.Process(pid=21982, name='mlr_main') ['/users/group23/petuum_test/bosen/app/mlr/bin/mlr_main', '--num_comm_channels_per_client=1', '--hostfile=/proj/cs744-PG0/bosen_config/fourhosts', '--staleness=2', '--client_id=0', '--num_app_threads=4', '--num_clients=4', '--weight_file=', '--test_file=/proj/cs744-PG0/dm1/mnist8m_test', '--num_batches_per_epoch=10', '--num_epochs=40', '--output_file_prefix=/users/group23/petuum_test/bosen/app/mlr/out', '--lr_decay_rate=0.99', '--num_train_eval=10000', '--global_data=false', '--init_lr=0.01', '--train_file=/proj/cs744-PG0/dm1/mnist8m', '--use_weight_file=false', '--num_test_eval=20', '--perform_test=true', '--num_batches_per_eval=10', '--lambda=0'] pcputimes(user=15.32, system=2.42, children_user=0.0, children_system=0.0) pmem(rss=5062590464, vms=16205733888, shared=4947968, text=888832, lib=0, data=16162652160, dirty=0)
1512435632.05 2017-12-04 18:00:32.049548 psutil.Process(pid=21982, name='mlr_main') ['/users/group23/petuum_test/bosen/app/mlr/bin/mlr_main', '--num_comm_channels_per_client=1', '--hostfile=/proj/cs744-PG0/bosen_config/fourhosts', '--staleness=2', '--client_id=0', '--num_app_threads=4', '--num_clients=4', '--weight_file=', '--test_file=/proj/cs744-PG0/dm1/mnist8m_test', '--num_batches_per_epoch=10', '--num_epochs=40', '--output_file_prefix=/users/group23/petuum_test/bosen/app/mlr/out', '--lr_decay_rate=0.99', '--num_train_eval=10000', '--global_data=false', '--init_lr=0.01', '--train_file=/proj/cs744-PG0/dm1/mnist8m', '--use_weight_file=false', '--num_test_eval=20', '--perform_test=true', '--num_batches_per_eval=10', '--lambda=0'] pcputimes(user=17.16, system=2.62, children_user=0.0, children_system=0.0) pmem(rss=5712707584, vms=16205733888, shared=4947968, text=888832, lib=0, data=16162652160, dirty=0)
1512435634.07 2017-12-04 18:00:34.069846 psutil.Process(pid=21982, name='mlr_main') ['/users/group23/petuum_test/bosen/app/mlr/bin/mlr_main', '--num_comm_channels_per_client=1', '--hostfile=/proj/cs744-PG0/bosen_config/fourhosts', '--staleness=2', '--client_id=0', '--num_app_threads=4', '--num_clients=4', '--weight_file=', '--test_file=/proj/cs744-PG0/dm1/mnist8m_test', '--num_batches_per_epoch=10', '--num_epochs=40', '--output_file_prefix=/users/group23/petuum_test/bosen/app/mlr/out', '--lr_decay_rate=0.99', '--num_train_eval=10000', '--global_data=false', '--init_lr=0.01', '--train_file=/proj/cs744-PG0/dm1/mnist8m', '--use_weight_file=false', '--num_test_eval=20', '--perform_test=true', '--num_batches_per_eval=10', '--lambda=0'] pcputimes(user=18.99, system=2.8, children_user=0.0, children_system=0.0) pmem(rss=6364565504, vms=16205733888, shared=4947968, text=888832, lib=0, data=16162652160, dirty=0)
